Team1,Score1,Team2,Score2,point_differential
Austria Mixed,14,Argentina Mixed,12,2
United States of America Mixed,15,Switzerland Mixed,4,11
Japan Mixed,15,Switzerland Mixed,7,8
United States of America Mixed,15,Austria Mixed,1,14
United States of America Mixed,15,Argentina Mixed,7,8
Japan Mixed,15,Austria Mixed,4,11
Switzerland Mixed,10,Argentina Mixed,12,2
United States of America Mixed,15,Japan Mixed,8,7
Japan Mixed,15,Argentina Mixed,5,10
Austria Mixed,10,Switzerland Mixed,11,1
New Zealand Mixed,13,India Mixed,15,2
Australia Mixed,15,People's Republic of China Mixed,10,5
Italy Mixed,15,People's Republic of China Mixed,10,5
Australia Mixed,15,New Zealand Mixed,10,5
Italy Mixed,15,New Zealand Mixed,7,8
Australia Mixed,15,India Mixed,12,3
People's Republic of China Mixed,11,India Mixed,15,4
Australia Mixed,15,Italy Mixed,12,3
Italy Mixed,15,India Mixed,13,2
New Zealand Mixed,15,People's Republic of China Mixed,6,9
Canada Mixed,15,Republic of Korea Mixed,4,11
Germany Mixed,15,Panama Mixed,5,10
Great Britain Mixed,15,Republic of Korea Mixed,1,14
Canada Mixed,15,Germany Mixed,11,4
Canada Mixed,15,Panama Mixed,1,14
Great Britain Mixed,11,Germany Mixed,15,4
Republic of Korea Mixed,7,Panama Mixed,11,4
Canada Mixed,15,Great Britain Mixed,9,6
Germany Mixed,15,Republic of Korea Mixed,3,12
Great Britain Mixed,14,Panama Mixed,4,10
Singapore Mixed,15,Chinese Taipei Mixed,8,7
Colombia Mixed,15,Malaysia Mixed,7,8
France Mixed,15,"Hong Kong, China Mixed",2,13
Colombia Mixed,10,Singapore Mixed,13,3
"Hong Kong, China Mixed",8,Malaysia Mixed,15,7
France Mixed,15,Chinese Taipei Mixed,8,7
France Mixed,10,Colombia Mixed,9,1
"Hong Kong, China Mixed",5,Chinese Taipei Mixed,15,10
Singapore Mixed,15,Malaysia Mixed,5,10
France Mixed,15,Malaysia Mixed,3,12
Singapore Mixed,15,"Hong Kong, China Mixed",3,12
Colombia Mixed,13,Chinese Taipei Mixed,14,1
France Mixed,15,Singapore Mixed,10,5
Chinese Taipei Mixed,12,Malaysia Mixed,9,3
Colombia Mixed,13,"Hong Kong, China Mixed",5,8
Austria Mixed,4,Canada Mixed,15,11
Japan Mixed,13,Great Britain Mixed,5,8
United States of America Mixed,15,Germany Mixed,4,11
United States of America Mixed,15,Canada Mixed,6,9
Japan Mixed,15,Germany Mixed,13,2
Austria Mixed,2,Great Britain Mixed,15,13
Austria Mixed,8,Germany Mixed,15,7
Japan Mixed,9,Canada Mixed,15,6
United States of America Mixed,15,Great Britain Mixed,6,9
Australia Mixed,15,Singapore Mixed,12,3
Italy Mixed,13,Chinese Taipei Mixed,9,4
India Mixed,10,France Mixed,14,4
Australia Mixed,11,France Mixed,15,4
Italy Mixed,13,Singapore Mixed,14,1
India Mixed,15,Chinese Taipei Mixed,10,5
Australia Mixed,15,Chinese Taipei Mixed,6,9
India Mixed,8,Singapore Mixed,15,7
Italy Mixed,8,France Mixed,15,7
Switzerland Mixed,15,Republic of Korea Mixed,3,12
Argentina Mixed,11,Panama Mixed,8,3
Argentina Mixed,14,Republic of Korea Mixed,8,6
Switzerland Mixed,15,Panama Mixed,5,10
New Zealand Mixed,15,Malaysia Mixed,2,13
People's Republic of China Mixed,9,"Hong Kong, China Mixed",10,1
New Zealand Mixed,9,Colombia Mixed,15,6
People's Republic of China Mixed,14,Malaysia Mixed,6,8
New Zealand Mixed,15,"Hong Kong, China Mixed",0,15
People's Republic of China Mixed,9,Colombia Mixed,7,2
Australia Mixed,15,Japan Mixed,14,1
France Mixed,15,Germany Mixed,10,5
Canada Mixed,14,Singapore Mixed,7,7
United States of America Mixed,15,Italy Mixed,9,6
Italy Mixed,15,Japan Mixed,13,2
Germany Mixed,13,Singapore Mixed,14,1
United States of America Mixed,15,Australia Mixed,4,11
France Mixed,9,Canada Mixed,11,2
Italy Mixed,15,Singapore Mixed,9,6
Japan Mixed,13,Germany Mixed,15,2
Australia Mixed,11,France Mixed,12,1
United States of America Mixed,15,Canada Mixed,8,7
Great Britain Mixed,15,New Zealand Mixed,11,4
India Mixed,14,Switzerland Mixed,15,1
Austria Mixed,12,Colombia Mixed,15,3
Chinese Taipei Mixed,15,Argentina Mixed,14,1
New Zealand Mixed,15,Argentina Mixed,9,6
India Mixed,14,Austria Mixed,15,1
Great Britain Mixed,15,Chinese Taipei Mixed,9,6
Switzerland Mixed,10,Colombia Mixed,13,3
Great Britain Mixed,15,Colombia Mixed,11,4
Chinese Taipei Mixed,11,Switzerland Mixed,15,4
New Zealand Mixed,15,Austria Mixed,2,13
Argentina Mixed,6,India Mixed,15,9
Panama Mixed,11,People's Republic of China Mixed,15,4
Republic of Korea Mixed,7,Malaysia Mixed,15,8
Republic of Korea Mixed,15,"Hong Kong, China Mixed",12,3
Panama Mixed,15,"Hong Kong, China Mixed",8,7
Republic of Korea Mixed,3,People's Republic of China Mixed,15,12
Panama Mixed,13,Malaysia Mixed,9,4
