Team1,Score1,Team2,Score2,point_differential
United States of America Women's,15,New Zealand Women's,1,14
Australia Women's,15,France Women's,6,9
Japan Women's,15,People's Republic of China Women's,3,12
New Zealand Women's,10,People's Republic of China Women's,11,1
Japan Women's,12,Australia Women's,15,3
United States of America Women's,15,France Women's,3,12
United States of America Women's,15,People's Republic of China Women's,2,13
Australia Women's,15,New Zealand Women's,10,5
Japan Women's,15,France Women's,8,7
Australia Women's,15,People's Republic of China Women's,9,6
New Zealand Women's,13,France Women's,11,2
United States of America Women's,15,Japan Women's,11,4
Japan Women's,12,New Zealand Women's,8,4
United States of America Women's,15,Australia Women's,10,5
France Women's,7,People's Republic of China Women's,5,2
Germany Women's,15,Singapore Women's,9,6
Colombia Women's,15,Great Britain Women's,8,7
Canada Women's,15,Chinese Taipei Women's,5,10
Colombia Women's,15,Singapore Women's,9,6
Canada Women's,14,Germany Women's,10,4
Great Britain Women's,13,Chinese Taipei Women's,15,2
Germany Women's,15,Great Britain Women's,10,5
Canada Women's,15,Singapore Women's,6,9
Colombia Women's,15,Chinese Taipei Women's,10,5
Great Britain Women's,14,Singapore Women's,15,1
Germany Women's,15,Chinese Taipei Women's,8,7
Colombia Women's,15,Canada Women's,12,3
Singapore Women's,11,Chinese Taipei Women's,14,3
Colombia Women's,15,Germany Women's,8,7
Canada Women's,15,Great Britain Women's,1,14
United States of America Women's,13,Colombia Women's,15,2
Australia Women's,13,Canada Women's,14,1
United States of America Women's,15,Canada Women's,10,5
Australia Women's,12,Colombia Women's,15,3
Japan Women's,15,Germany Women's,14,1
New Zealand Women's,12,Chinese Taipei Women's,8,4
New Zealand Women's,11,Germany Women's,15,4
Japan Women's,15,Chinese Taipei Women's,4,11
France Women's,11,Singapore Women's,14,3
People's Republic of China Women's,8,Great Britain Women's,10,2
France Women's,13,Great Britain Women's,8,5
People's Republic of China Women's,15,Singapore Women's,11,4
Australia Women's,15,Japan Women's,12,3
New Zealand Women's,13,France Women's,10,3
Chinese Taipei Women's,12,Singapore Women's,10,2
Canada Women's,15,Germany Women's,10,5
Colombia Women's,15,Australia Women's,10,5
United States of America Women's,15,Canada Women's,7,8
Australia Women's,14,Canada Women's,9,5
Colombia Women's,12,United States of America Women's,14,2
Japan Women's,15,Chinese Taipei Women's,6,9
Germany Women's,12,New Zealand Women's,15,3
Japan Women's,15,New Zealand Women's,7,8
Chinese Taipei Women's,9,Germany Women's,15,6
France Women's,13,People's Republic of China Women's,8,5
Singapore Women's,5,Great Britain Women's,15,10
France Women's,9,Great Britain Women's,12,3
People's Republic of China Women's,15,Singapore Women's,8,7
