"nz_points_total","nz_points_mixed","nz_points_opens","nz_points_womens","nz_qualify","scenario"
235,74,77,84,0,"Base"
232,75,76,81,0,"Base"
230,72,79,79,0,"Base"
228,73,76,79,0,"Base"
229,66,84,79,0,"Base"
244,74,91,79,1,"Base"
227,73,75,79,0,"Base"
220,68,76,76,0,"Base"
226,70,79,77,0,"Base"
235,72,84,79,0,"Base"
233,75,74,84,0,"Base"
222,68,77,77,0,"Base"
234,73,87,74,0,"Base"
244,76,87,81,1,"Base"
231,70,87,74,0,"Base"
230,73,76,81,0,"Base"
231,75,75,81,0,"Base"
230,72,79,79,0,"Base"
223,72,74,77,0,"Base"
230,74,77,79,0,"Base"
240,75,81,84,1,"Base"
235,72,84,79,0,"Base"
232,77,74,81,0,"Base"
228,68,81,79,0,"Base"
228,72,79,77,0,"Base"
229,71,79,79,0,"Base"
238,76,81,81,1,"Base"
227,73,75,79,0,"Base"
233,70,79,84,0,"Base"
242,74,81,87,1,"Base"
224,72,75,77,0,"Base"
227,77,76,74,0,"Base"
236,84,75,77,0,"Base"
235,74,77,84,0,"Base"
225,70,79,76,0,"Base"
240,74,87,79,0,"Base"
236,72,87,77,0,"Base"
229,73,75,81,0,"Base"
235,72,76,87,0,"Base"
227,73,75,79,0,"Base"
233,81,73,79,0,"Base"
228,72,75,81,0,"Base"
230,75,76,79,0,"Base"
228,72,75,81,0,"Base"
223,72,75,76,0,"Base"
235,74,77,84,0,"Base"
231,74,76,81,0,"Base"
228,72,77,79,0,"Base"
238,72,87,79,1,"Base"
234,77,76,81,0,"Base"
232,75,81,76,0,"Base"
227,75,76,76,0,"Base"
220,67,79,74,0,"Base"
236,68,81,87,0,"Base"
235,75,76,84,0,"Base"
225,72,79,74,0,"Base"
230,75,74,81,0,"Base"
235,81,77,77,0,"Base"
232,74,79,79,0,"Base"
248,74,95,79,1,"Base"
227,74,77,76,0,"Base"
230,72,79,79,0,"Base"
223,69,77,77,0,"Base"
232,74,79,79,0,"Base"
238,76,81,81,0,"Base"
223,68,76,79,0,"Base"
245,75,91,79,1,"Base"
222,73,73,76,0,"Base"
233,67,79,87,0,"Base"
228,75,76,77,0,"Base"
250,76,87,87,1,"Base"
245,74,95,76,1,"Base"
222,73,74,75,0,"Base"
