"nz_points_total","nz_points_mixed","nz_points_opens","nz_points_womens","nz_qualify","scenario"
231,76,76,79,0,"Stacked Mixed"
225,74,76,75,0,"Stacked Mixed"
234,76,74,84,0,"Stacked Mixed"
226,77,74,75,0,"Stacked Mixed"
228,75,74,79,0,"Stacked Mixed"
227,77,76,74,0,"Stacked Mixed"
229,75,75,79,0,"Stacked Mixed"
241,76,84,81,1,"Stacked Mixed"
223,75,72,76,0,"Stacked Mixed"
230,76,75,79,0,"Stacked Mixed"
231,75,77,79,0,"Stacked Mixed"
235,79,77,79,0,"Stacked Mixed"
225,74,75,76,0,"Stacked Mixed"
223,74,75,74,0,"Stacked Mixed"
227,72,76,79,0,"Stacked Mixed"
234,76,77,81,1,"Stacked Mixed"
226,70,77,79,0,"Stacked Mixed"
226,72,79,75,0,"Stacked Mixed"
235,84,76,75,0,"Stacked Mixed"
234,77,76,81,0,"Stacked Mixed"
247,79,87,81,1,"Stacked Mixed"
235,81,73,81,0,"Stacked Mixed"
232,76,77,79,0,"Stacked Mixed"
234,74,79,81,0,"Stacked Mixed"
234,84,76,74,0,"Stacked Mixed"
225,75,74,76,0,"Stacked Mixed"
228,77,75,76,0,"Stacked Mixed"
221,70,76,75,0,"Stacked Mixed"
241,79,81,81,1,"Stacked Mixed"
227,74,77,76,0,"Stacked Mixed"
230,76,77,77,0,"Stacked Mixed"
225,74,75,76,0,"Stacked Mixed"
224,75,73,76,0,"Stacked Mixed"
225,72,77,76,0,"Stacked Mixed"
223,72,74,77,0,"Stacked Mixed"
236,76,79,81,0,"Stacked Mixed"
239,76,79,84,0,"Stacked Mixed"
229,72,76,81,0,"Stacked Mixed"
234,76,81,77,0,"Stacked Mixed"
237,79,77,81,0,"Stacked Mixed"
229,72,81,76,0,"Stacked Mixed"
230,76,75,79,0,"Stacked Mixed"
224,74,75,75,0,"Stacked Mixed"
227,76,75,76,0,"Stacked Mixed"
228,77,74,77,0,"Stacked Mixed"
227,77,75,75,0,"Stacked Mixed"
224,74,75,75,0,"Stacked Mixed"
243,87,75,81,1,"Stacked Mixed"
228,73,76,79,0,"Stacked Mixed"
227,74,74,79,0,"Stacked Mixed"
236,76,81,79,0,"Stacked Mixed"
225,75,74,76,0,"Stacked Mixed"
224,74,74,76,0,"Stacked Mixed"
230,76,75,79,0,"Stacked Mixed"
233,77,75,81,0,"Stacked Mixed"
236,76,81,79,0,"Stacked Mixed"
234,76,79,79,1,"Stacked Mixed"
237,72,84,81,0,"Stacked Mixed"
223,72,74,77,0,"Stacked Mixed"
232,74,81,77,0,"Stacked Mixed"
224,72,76,76,0,"Stacked Mixed"
239,76,84,79,0,"Stacked Mixed"
237,77,79,81,0,"Stacked Mixed"
239,81,81,77,0,"Stacked Mixed"
240,87,77,76,0,"Stacked Mixed"
233,79,75,79,0,"Stacked Mixed"
222,71,76,75,0,"Stacked Mixed"
231,81,74,76,0,"Stacked Mixed"
236,79,76,81,0,"Stacked Mixed"
230,79,77,74,0,"Stacked Mixed"
232,77,76,79,0,"Stacked Mixed"
229,77,75,77,0,"Stacked Mixed"
238,76,81,81,0,"Stacked Mixed"
234,74,81,79,0,"Stacked Mixed"
226,74,76,76,0,"Stacked Mixed"
241,79,81,81,1,"Stacked Mixed"
230,76,81,73,0,"Stacked Mixed"
241,81,81,79,0,"Stacked Mixed"
228,77,74,77,0,"Stacked Mixed"
231,76,74,81,0,"Stacked Mixed"
245,77,91,77,1,"Stacked Mixed"
236,76,81,79,0,"Stacked Mixed"
235,81,77,77,0,"Stacked Mixed"
234,76,79,79,0,"Stacked Mixed"
234,81,74,79,0,"Stacked Mixed"
231,75,75,81,0,"Stacked Mixed"
232,79,77,76,0,"Stacked Mixed"
228,77,76,75,0,"Stacked Mixed"
228,76,75,77,0,"Stacked Mixed"
239,76,84,79,1,"Stacked Mixed"
234,72,75,87,0,"Stacked Mixed"
226,74,75,77,0,"Stacked Mixed"
227,72,74,81,0,"Stacked Mixed"
239,81,79,79,0,"Stacked Mixed"
227,74,76,77,0,"Stacked Mixed"
235,72,84,79,0,"Stacked Mixed"
232,76,77,79,0,"Stacked Mixed"
229,76,76,77,0,"Stacked Mixed"
233,74,75,84,0,"Stacked Mixed"
227,74,77,76,0,"Stacked Mixed"
241,76,84,81,1,"Stacked Mixed"
231,76,79,76,0,"Stacked Mixed"
245,87,77,81,1,"Stacked Mixed"
239,84,74,81,1,"Stacked Mixed"
233,79,77,77,0,"Stacked Mixed"
226,74,75,77,0,"Stacked Mixed"
249,75,95,79,1,"Stacked Mixed"
234,74,76,84,0,"Stacked Mixed"
231,74,76,81,0,"Stacked Mixed"
231,79,75,77,0,"Stacked Mixed"
242,74,87,81,1,"Stacked Mixed"
221,70,75,76,0,"Stacked Mixed"
225,72,76,77,0,"Stacked Mixed"
228,76,73,79,0,"Stacked Mixed"
231,79,73,79,0,"Stacked Mixed"
233,77,79,77,0,"Stacked Mixed"
226,77,74,75,0,"Stacked Mixed"
244,87,76,81,1,"Stacked Mixed"
231,79,76,76,0,"Stacked Mixed"
224,74,74,76,0,"Stacked Mixed"
232,72,84,76,0,"Stacked Mixed"
225,72,76,77,0,"Stacked Mixed"
253,74,100,79,1,"Stacked Mixed"
228,79,72,77,0,"Stacked Mixed"
232,77,76,79,0,"Stacked Mixed"
227,74,74,79,0,"Stacked Mixed"
232,77,76,79,0,"Stacked Mixed"
223,71,75,77,0,"Stacked Mixed"
230,84,72,74,0,"Stacked Mixed"
229,74,79,76,0,"Stacked Mixed"
232,76,77,79,0,"Stacked Mixed"
226,72,81,73,0,"Stacked Mixed"
231,76,74,81,0,"Stacked Mixed"
237,79,74,84,1,"Stacked Mixed"
231,75,75,81,0,"Stacked Mixed"
241,81,79,81,1,"Stacked Mixed"
236,76,79,81,0,"Stacked Mixed"
246,81,84,81,1,"Stacked Mixed"
239,84,76,79,0,"Stacked Mixed"
223,70,76,77,0,"Stacked Mixed"
229,76,76,77,0,"Stacked Mixed"
225,72,74,79,0,"Stacked Mixed"
226,75,74,77,0,"Stacked Mixed"
237,77,81,79,0,"Stacked Mixed"
231,77,75,79,0,"Stacked Mixed"
227,77,74,76,0,"Stacked Mixed"
242,84,79,79,0,"Stacked Mixed"
235,81,77,77,0,"Stacked Mixed"
237,75,87,75,1,"Stacked Mixed"
239,79,81,79,0,"Stacked Mixed"
228,74,73,81,0,"Stacked Mixed"
229,75,75,79,0,"Stacked Mixed"
227,77,74,76,0,"Stacked Mixed"
225,75,76,74,0,"Stacked Mixed"
235,75,81,79,0,"Stacked Mixed"
225,72,76,77,0,"Stacked Mixed"
236,84,75,77,1,"Stacked Mixed"
237,73,77,87,0,"Stacked Mixed"
235,81,75,79,1,"Stacked Mixed"
249,84,81,84,1,"Stacked Mixed"
244,84,76,84,0,"Stacked Mixed"
237,79,79,79,0,"Stacked Mixed"
240,81,84,75,0,"Stacked Mixed"
229,74,74,81,0,"Stacked Mixed"
222,73,75,74,0,"Stacked Mixed"
225,76,73,76,0,"Stacked Mixed"
224,67,81,76,0,"Stacked Mixed"
231,81,73,77,0,"Stacked Mixed"
230,75,76,79,0,"Stacked Mixed"
248,74,95,79,1,"Stacked Mixed"
228,76,76,76,0,"Stacked Mixed"
231,77,75,79,0,"Stacked Mixed"
242,87,74,81,1,"Stacked Mixed"
232,74,79,79,0,"Stacked Mixed"
224,71,74,79,0,"Stacked Mixed"
227,77,75,75,0,"Stacked Mixed"
232,72,79,81,0,"Stacked Mixed"
229,74,74,81,0,"Stacked Mixed"
228,77,75,76,0,"Stacked Mixed"
230,75,76,79,0,"Stacked Mixed"
234,74,81,79,0,"Stacked Mixed"
233,79,73,81,0,"Stacked Mixed"
237,74,87,76,0,"Stacked Mixed"
236,81,79,76,0,"Stacked Mixed"
236,81,76,79,1,"Stacked Mixed"
229,74,76,79,0,"Stacked Mixed"
229,74,76,79,0,"Stacked Mixed"
248,87,77,84,1,"Stacked Mixed"
237,77,81,79,0,"Stacked Mixed"
226,73,74,79,0,"Stacked Mixed"
249,87,81,81,1,"Stacked Mixed"
