"nz_points_total","nz_points_mixed","nz_points_opens","nz_points_womens","nz_qualify","scenario"
240,75,81,84,1,"Stacked Opens/Womens"
234,69,84,81,0,"Stacked Opens/Womens"
225,72,74,79,0,"Stacked Opens/Womens"
232,69,84,79,0,"Stacked Opens/Womens"
237,72,84,81,0,"Stacked Opens/Womens"
221,66,76,79,0,"Stacked Opens/Womens"
223,66,76,81,0,"Stacked Opens/Womens"
237,75,81,81,0,"Stacked Opens/Womens"
226,70,75,81,0,"Stacked Opens/Womens"
227,72,76,79,0,"Stacked Opens/Womens"
246,74,91,81,1,"Stacked Opens/Womens"
226,68,79,79,0,"Stacked Opens/Womens"
224,69,76,79,0,"Stacked Opens/Womens"
237,73,87,77,1,"Stacked Opens/Womens"
235,72,87,76,0,"Stacked Opens/Womens"
220,69,76,75,0,"Stacked Opens/Womens"
241,69,91,81,1,"Stacked Opens/Womens"
232,71,84,77,0,"Stacked Opens/Womens"
224,68,77,79,0,"Stacked Opens/Womens"
237,69,87,81,1,"Stacked Opens/Womens"
245,73,91,81,1,"Stacked Opens/Womens"
250,68,95,87,1,"Stacked Opens/Womens"
223,72,75,76,0,"Stacked Opens/Womens"
220,68,76,76,0,"Stacked Opens/Womens"
222,68,77,77,0,"Stacked Opens/Womens"
224,69,76,79,0,"Stacked Opens/Womens"
229,73,77,79,0,"Stacked Opens/Womens"
233,72,84,77,0,"Stacked Opens/Womens"
239,73,87,79,1,"Stacked Opens/Womens"
226,73,74,79,0,"Stacked Opens/Womens"
241,69,91,81,1,"Stacked Opens/Womens"
250,76,95,79,1,"Stacked Opens/Womens"
235,67,84,84,0,"Stacked Opens/Womens"
226,75,76,75,0,"Stacked Opens/Womens"
227,73,75,79,0,"Stacked Opens/Womens"
234,68,87,79,0,"Stacked Opens/Womens"
229,68,77,84,0,"Stacked Opens/Womens"
228,70,81,77,0,"Stacked Opens/Womens"
237,75,81,81,0,"Stacked Opens/Womens"
237,72,84,81,1,"Stacked Opens/Womens"
238,70,87,81,0,"Stacked Opens/Womens"
222,69,76,77,0,"Stacked Opens/Womens"
232,72,84,76,0,"Stacked Opens/Womens"
239,68,87,84,1,"Stacked Opens/Womens"
228,68,84,76,0,"Stacked Opens/Womens"
234,68,87,79,0,"Stacked Opens/Womens"
235,70,81,84,0,"Stacked Opens/Womens"
232,69,79,84,0,"Stacked Opens/Womens"
231,71,81,79,0,"Stacked Opens/Womens"
228,68,84,76,0,"Stacked Opens/Womens"
242,74,81,87,1,"Stacked Opens/Womens"
232,72,76,84,0,"Stacked Opens/Womens"
229,73,77,79,0,"Stacked Opens/Womens"
234,74,81,79,0,"Stacked Opens/Womens"
228,68,84,76,0,"Stacked Opens/Womens"
233,73,81,79,0,"Stacked Opens/Womens"
229,73,75,81,0,"Stacked Opens/Womens"
229,72,76,81,0,"Stacked Opens/Womens"
242,75,91,76,0,"Stacked Opens/Womens"
238,77,84,77,0,"Stacked Opens/Womens"
231,71,76,84,0,"Stacked Opens/Womens"
229,71,77,81,0,"Stacked Opens/Womens"
242,71,84,87,0,"Stacked Opens/Womens"
227,67,81,79,0,"Stacked Opens/Womens"
228,73,76,79,0,"Stacked Opens/Womens"
230,70,81,79,0,"Stacked Opens/Womens"
232,72,81,79,0,"Stacked Opens/Womens"
239,76,84,79,1,"Stacked Opens/Womens"
233,73,79,81,0,"Stacked Opens/Womens"
250,76,95,79,1,"Stacked Opens/Womens"
231,72,75,84,0,"Stacked Opens/Womens"
233,67,87,79,0,"Stacked Opens/Womens"
246,74,91,81,1,"Stacked Opens/Womens"
231,71,84,76,0,"Stacked Opens/Womens"
236,68,87,81,0,"Stacked Opens/Womens"
226,72,75,79,0,"Stacked Opens/Womens"
229,67,81,81,0,"Stacked Opens/Womens"
231,74,76,81,0,"Stacked Opens/Womens"
243,71,95,77,1,"Stacked Opens/Womens"
246,68,91,87,1,"Stacked Opens/Womens"
228,72,77,79,0,"Stacked Opens/Womens"
231,71,79,81,0,"Stacked Opens/Womens"
223,68,74,81,0,"Stacked Opens/Womens"
