"nz_points_total","nz_points_mixed","nz_points_opens","nz_points_womens","nz_qualify","scenario"
233,81,75,77,0,"Superstacked Mixed"
223,71,75,77,0,"Superstacked Mixed"
231,81,75,75,0,"Superstacked Mixed"
241,81,79,81,1,"Superstacked Mixed"
243,91,75,77,1,"Superstacked Mixed"
232,81,74,77,1,"Superstacked Mixed"
224,76,73,75,0,"Superstacked Mixed"
230,74,79,77,0,"Superstacked Mixed"
248,95,77,76,1,"Superstacked Mixed"
239,87,75,77,0,"Superstacked Mixed"
232,81,72,79,0,"Superstacked Mixed"
232,76,79,77,0,"Superstacked Mixed"
246,95,74,77,1,"Superstacked Mixed"
223,75,74,74,0,"Superstacked Mixed"
232,79,77,76,0,"Superstacked Mixed"
235,87,75,73,0,"Superstacked Mixed"
227,77,75,75,0,"Superstacked Mixed"
238,87,76,75,0,"Superstacked Mixed"
230,79,76,75,0,"Superstacked Mixed"
236,87,74,75,0,"Superstacked Mixed"
238,81,81,76,0,"Superstacked Mixed"
230,79,74,77,0,"Superstacked Mixed"
230,81,72,77,0,"Superstacked Mixed"
231,79,76,76,0,"Superstacked Mixed"
238,87,77,74,0,"Superstacked Mixed"
241,84,81,76,1,"Superstacked Mixed"
235,84,75,76,0,"Superstacked Mixed"
230,81,74,75,0,"Superstacked Mixed"
229,72,76,81,0,"Superstacked Mixed"
223,68,76,79,0,"Superstacked Mixed"
249,91,77,81,1,"Superstacked Mixed"
230,81,75,74,0,"Superstacked Mixed"
227,76,75,76,0,"Superstacked Mixed"
237,84,76,77,0,"Superstacked Mixed"
234,84,76,74,0,"Superstacked Mixed"
237,91,73,73,0,"Superstacked Mixed"
230,77,77,76,0,"Superstacked Mixed"
247,95,75,77,1,"Superstacked Mixed"
243,81,81,81,1,"Superstacked Mixed"
232,79,74,79,0,"Superstacked Mixed"
233,81,73,79,0,"Superstacked Mixed"
229,81,74,74,0,"Superstacked Mixed"
252,100,73,79,1,"Superstacked Mixed"
235,79,75,81,0,"Superstacked Mixed"
238,84,75,79,0,"Superstacked Mixed"
233,77,79,77,0,"Superstacked Mixed"
224,77,73,74,0,"Superstacked Mixed"
242,84,79,79,0,"Superstacked Mixed"
232,76,79,77,0,"Superstacked Mixed"
238,84,75,79,0,"Superstacked Mixed"
236,87,74,75,0,"Superstacked Mixed"
238,74,87,77,1,"Superstacked Mixed"
238,87,75,76,0,"Superstacked Mixed"
237,81,81,75,0,"Superstacked Mixed"
240,91,74,75,1,"Superstacked Mixed"
240,76,87,77,1,"Superstacked Mixed"
236,79,76,81,1,"Superstacked Mixed"
251,95,75,81,1,"Superstacked Mixed"
231,81,75,75,0,"Superstacked Mixed"
234,84,71,79,1,"Superstacked Mixed"
233,81,77,75,0,"Superstacked Mixed"
240,87,76,77,0,"Superstacked Mixed"
241,87,77,77,0,"Superstacked Mixed"
232,84,73,75,0,"Superstacked Mixed"
228,81,73,74,0,"Superstacked Mixed"
226,75,75,76,0,"Superstacked Mixed"
235,84,75,76,0,"Superstacked Mixed"
222,71,74,77,0,"Superstacked Mixed"
232,81,74,77,0,"Superstacked Mixed"
229,72,76,81,0,"Superstacked Mixed"
223,74,75,74,0,"Superstacked Mixed"
235,84,75,76,0,"Superstacked Mixed"
235,81,75,79,0,"Superstacked Mixed"
226,76,75,75,0,"Superstacked Mixed"
226,76,75,75,0,"Superstacked Mixed"
237,79,81,77,0,"Superstacked Mixed"
228,76,75,77,0,"Superstacked Mixed"
234,84,73,77,0,"Superstacked Mixed"
226,76,74,76,0,"Superstacked Mixed"
242,76,87,79,1,"Superstacked Mixed"
247,95,77,75,1,"Superstacked Mixed"
227,75,79,73,0,"Superstacked Mixed"
242,91,76,75,0,"Superstacked Mixed"
244,95,75,74,1,"Superstacked Mixed"
235,81,75,79,0,"Superstacked Mixed"
240,87,76,77,0,"Superstacked Mixed"
227,76,72,79,0,"Superstacked Mixed"
232,79,72,81,0,"Superstacked Mixed"
237,79,77,81,0,"Superstacked Mixed"
230,77,76,77,0,"Superstacked Mixed"
235,79,79,77,0,"Superstacked Mixed"
238,87,76,75,0,"Superstacked Mixed"
240,87,77,76,1,"Superstacked Mixed"
231,81,74,76,0,"Superstacked Mixed"
229,81,72,76,0,"Superstacked Mixed"
234,74,84,76,0,"Superstacked Mixed"
245,95,74,76,1,"Superstacked Mixed"
233,81,73,79,0,"Superstacked Mixed"
238,87,76,75,1,"Superstacked Mixed"
229,81,74,74,0,"Superstacked Mixed"
221,76,72,73,0,"Superstacked Mixed"
228,75,74,79,0,"Superstacked Mixed"
230,75,76,79,0,"Superstacked Mixed"
228,77,77,74,0,"Superstacked Mixed"
235,81,79,75,0,"Superstacked Mixed"
230,79,76,75,0,"Superstacked Mixed"
246,91,81,74,1,"Superstacked Mixed"
247,84,84,79,1,"Superstacked Mixed"
241,87,75,79,1,"Superstacked Mixed"
233,79,73,81,0,"Superstacked Mixed"
234,81,77,76,0,"Superstacked Mixed"
245,87,77,81,1,"Superstacked Mixed"
229,77,75,77,0,"Superstacked Mixed"
234,81,74,79,0,"Superstacked Mixed"
227,76,74,77,0,"Superstacked Mixed"
245,95,77,73,1,"Superstacked Mixed"
237,87,73,77,0,"Superstacked Mixed"
235,81,75,79,0,"Superstacked Mixed"
241,91,75,75,1,"Superstacked Mixed"
226,74,76,76,0,"Superstacked Mixed"
239,79,81,79,0,"Superstacked Mixed"
241,91,74,76,1,"Superstacked Mixed"
234,79,74,81,0,"Superstacked Mixed"
