"nz_points_total","nz_points_mixed","nz_points_opens","nz_points_womens","nz_qualify","scenario"
234,69,81,84,0,"Superstacked Opens/Womens"
247,73,95,79,1,"Superstacked Opens/Womens"
220,68,75,77,0,"Superstacked Opens/Womens"
234,68,87,79,0,"Superstacked Opens/Womens"
243,67,95,81,1,"Superstacked Opens/Womens"
238,66,91,81,0,"Superstacked Opens/Womens"
244,65,84,95,1,"Superstacked Opens/Womens"
239,68,84,87,0,"Superstacked Opens/Womens"
238,67,95,76,0,"Superstacked Opens/Womens"
233,68,84,81,0,"Superstacked Opens/Womens"
235,67,84,84,0,"Superstacked Opens/Womens"
244,68,95,81,1,"Superstacked Opens/Womens"
243,68,84,91,1,"Superstacked Opens/Womens"
244,68,95,81,1,"Superstacked Opens/Womens"
230,68,81,81,0,"Superstacked Opens/Womens"
244,65,95,84,1,"Superstacked Opens/Womens"
238,73,81,84,0,"Superstacked Opens/Womens"
249,70,95,84,1,"Superstacked Opens/Womens"
242,71,84,87,1,"Superstacked Opens/Womens"
224,66,81,77,0,"Superstacked Opens/Womens"
244,70,95,79,1,"Superstacked Opens/Womens"
242,68,87,87,1,"Superstacked Opens/Womens"
252,68,100,84,1,"Superstacked Opens/Womens"
249,68,100,81,1,"Superstacked Opens/Womens"
233,68,84,81,0,"Superstacked Opens/Womens"
231,68,84,79,0,"Superstacked Opens/Womens"
234,66,87,81,0,"Superstacked Opens/Womens"
229,68,84,77,0,"Superstacked Opens/Womens"
234,69,84,81,0,"Superstacked Opens/Womens"
226,67,75,84,0,"Superstacked Opens/Womens"
239,69,91,79,0,"Superstacked Opens/Womens"
243,69,95,79,1,"Superstacked Opens/Womens"
236,65,84,87,1,"Superstacked Opens/Womens"
238,68,91,79,0,"Superstacked Opens/Womens"
239,71,87,81,1,"Superstacked Opens/Womens"
232,72,81,79,0,"Superstacked Opens/Womens"
223,67,75,81,0,"Superstacked Opens/Womens"
232,69,84,79,0,"Superstacked Opens/Womens"
231,66,81,84,0,"Superstacked Opens/Womens"
237,74,79,84,0,"Superstacked Opens/Womens"
249,68,100,81,1,"Superstacked Opens/Womens"
244,68,95,81,1,"Superstacked Opens/Womens"
223,69,75,79,0,"Superstacked Opens/Womens"
224,69,76,79,0,"Superstacked Opens/Womens"
233,68,84,81,0,"Superstacked Opens/Womens"
222,69,74,79,0,"Superstacked Opens/Womens"
225,67,77,81,0,"Superstacked Opens/Womens"
235,72,84,79,0,"Superstacked Opens/Womens"
242,68,95,79,1,"Superstacked Opens/Womens"
236,73,84,79,0,"Superstacked Opens/Womens"
233,68,84,81,0,"Superstacked Opens/Womens"
226,68,79,79,0,"Superstacked Opens/Womens"
234,66,81,87,0,"Superstacked Opens/Womens"
239,73,87,79,0,"Superstacked Opens/Womens"
238,72,87,79,0,"Superstacked Opens/Womens"
233,68,81,84,0,"Superstacked Opens/Womens"
230,67,76,87,0,"Superstacked Opens/Womens"
243,68,91,84,1,"Superstacked Opens/Womens"
230,67,76,87,0,"Superstacked Opens/Womens"
226,68,79,79,0,"Superstacked Opens/Womens"
231,68,84,79,0,"Superstacked Opens/Womens"
249,70,95,84,1,"Superstacked Opens/Womens"
226,66,79,81,0,"Superstacked Opens/Womens"
238,68,91,79,0,"Superstacked Opens/Womens"
226,74,76,76,0,"Superstacked Opens/Womens"
243,69,95,79,1,"Superstacked Opens/Womens"
247,68,95,84,1,"Superstacked Opens/Womens"
238,68,91,79,0,"Superstacked Opens/Womens"
231,68,84,79,0,"Superstacked Opens/Womens"
239,71,87,81,1,"Superstacked Opens/Womens"
233,68,81,84,0,"Superstacked Opens/Womens"
234,66,81,87,0,"Superstacked Opens/Womens"
233,65,84,84,0,"Superstacked Opens/Womens"
238,70,87,81,0,"Superstacked Opens/Womens"
228,65,76,87,0,"Superstacked Opens/Womens"
244,70,87,87,1,"Superstacked Opens/Womens"
237,71,87,79,0,"Superstacked Opens/Womens"
226,66,81,79,0,"Superstacked Opens/Womens"
247,73,87,87,1,"Superstacked Opens/Womens"
236,68,84,84,0,"Superstacked Opens/Womens"
245,67,91,87,1,"Superstacked Opens/Womens"
231,71,76,84,0,"Superstacked Opens/Womens"
